data_set,nof_rows,nof_col,nof_num_features,nof_cat_features,nof_pos,pos_ratio,use_case,origin,LENC_nof_bin_cols,LENC-XGB_runtime,LENC-XGB_acc,LENC-XGB_adj_bal_acc,LENC-XGB_recall,LENC-XGB_precision,LENC-XGB_f2,LENC-XGB_f,LENC-CART:6_runtime,LENC-CART:6_acc,LENC-CART:6_adj_bal_acc,LENC-CART:6_recall,LENC-CART:6_precision,LENC-CART:6_f2,LENC-CART:6_f,LENC-CART:6_nof_rules,LENC-CART:6_sum_preds,LENC-CART:6_max_preds,LENC-CART:6_avg_preds,LENC-CART:*_runtime,LENC-CART:*_acc,LENC-CART:*_adj_bal_acc,LENC-CART:*_recall,LENC-CART:*_precision,LENC-CART:*_f2,LENC-CART:*_f,LENC-CART:*_nof_rules,LENC-CART:*_sum_preds,LENC-CART:*_max_preds,LENC-CART:*_avg_preds,TREES_nof_bin_cols,TREES-BRCG_runtime,TREES-BRCG_acc,TREES-BRCG_adj_bal_acc,TREES-BRCG_recall,TREES-BRCG_precision,TREES-BRCG_f2,TREES-BRCG_f,TREES-BRCG_nof_rules,TREES-BRCG_sum_preds,TREES-BRCG_max_preds,TREES-BRCG_avg_preds,NATIVE_nof_bin_cols,NATIVE-RIPPER_runtime,NATIVE-RIPPER_acc,NATIVE-RIPPER_adj_bal_acc,NATIVE-RIPPER_recall,NATIVE-RIPPER_precision,NATIVE-RIPPER_f2,NATIVE-RIPPER_f,NATIVE-RIPPER_nof_rules,NATIVE-RIPPER_sum_preds,NATIVE-RIPPER_max_preds,NATIVE-RIPPER_avg_preds,NATIVE-RIPPER2_runtime,NATIVE-RIPPER2_acc,NATIVE-RIPPER2_adj_bal_acc,NATIVE-RIPPER2_recall,NATIVE-RIPPER2_precision,NATIVE-RIPPER2_f2,NATIVE-RIPPER2_f,NATIVE-RIPPER2_nof_rules,NATIVE-RIPPER2_sum_preds,NATIVE-RIPPER2_max_preds,NATIVE-RIPPER2_avg_preds,NATIVE-RIPPER3_runtime,NATIVE-RIPPER3_acc,NATIVE-RIPPER3_adj_bal_acc,NATIVE-RIPPER3_recall,NATIVE-RIPPER3_precision,NATIVE-RIPPER3_f2,NATIVE-RIPPER3_f,NATIVE-RIPPER3_nof_rules,NATIVE-RIPPER3_sum_preds,NATIVE-RIPPER3_max_preds,NATIVE-RIPPER3_avg_preds,TREES-CORELS_runtime,TREES-CORELS_acc,TREES-CORELS_adj_bal_acc,TREES-CORELS_recall,TREES-CORELS_precision,TREES-CORELS_f2,TREES-CORELS_f,TREES-CORELS_nof_rules,TREES-CORELS_sum_preds,TREES-CORELS_max_preds,TREES-CORELS_avg_preds,TREES-BRCG2_runtime,TREES-BRCG2_acc,TREES-BRCG2_adj_bal_acc,TREES-BRCG2_recall,TREES-BRCG2_precision,TREES-BRCG2_f2,TREES-BRCG2_f,TREES-BRCG2_nof_rules,TREES-BRCG2_sum_preds,TREES-BRCG2_max_preds,TREES-BRCG2_avg_preds,TREES2_nof_bin_cols,TREES2-BRCG2_runtime,TREES2-BRCG2_acc,TREES2-BRCG2_adj_bal_acc,TREES2-BRCG2_recall,TREES2-BRCG2_precision,TREES2-BRCG2_f2,TREES2-BRCG2_f,TREES2-BRCG2_nof_rules,TREES2-BRCG2_sum_preds,TREES2-BRCG2_max_preds,TREES2-BRCG2_avg_preds,TREES2-BRCG_runtime,TREES2-BRCG_acc,TREES2-BRCG_adj_bal_acc,TREES2-BRCG_recall,TREES2-BRCG_precision,TREES2-BRCG_f2,TREES2-BRCG_f,TREES2-BRCG_nof_rules,TREES2-BRCG_sum_preds,TREES2-BRCG_max_preds,TREES2-BRCG_avg_preds,QUANTILE_nof_bin_cols,QUANTILE-BRCG_runtime,QUANTILE-BRCG_acc,QUANTILE-BRCG_adj_bal_acc,QUANTILE-BRCG_recall,QUANTILE-BRCG_precision,QUANTILE-BRCG_f2,QUANTILE-BRCG_f,QUANTILE-BRCG_nof_rules,QUANTILE-BRCG_sum_preds,QUANTILE-BRCG_max_preds,QUANTILE-BRCG_avg_preds,NATIVE-R2N_runtime,NATIVE-R2N_acc,NATIVE-R2N_adj_bal_acc,NATIVE-R2N_recall,NATIVE-R2N_precision,NATIVE-R2N_f2,NATIVE-R2N_f,NATIVE-R2N_nof_rules,NATIVE-R2N_sum_preds,NATIVE-R2N_max_preds,NATIVE-R2N_avg_preds,QUANTILE-BRCG2_runtime,QUANTILE-BRCG2_acc,QUANTILE-BRCG2_adj_bal_acc,QUANTILE-BRCG2_recall,QUANTILE-BRCG2_precision,QUANTILE-BRCG2_f2,QUANTILE-BRCG2_f,QUANTILE-BRCG2_nof_rules,QUANTILE-BRCG2_sum_preds,QUANTILE-BRCG2_max_preds,QUANTILE-BRCG2_avg_preds,QUANTILE-RIPPER_runtime,QUANTILE-RIPPER_acc,QUANTILE-RIPPER_adj_bal_acc,QUANTILE-RIPPER_recall,QUANTILE-RIPPER_precision,QUANTILE-RIPPER_f2,QUANTILE-RIPPER_f,QUANTILE-RIPPER_nof_rules,QUANTILE-RIPPER_sum_preds,QUANTILE-RIPPER_max_preds,QUANTILE-RIPPER_avg_preds,QUANTILE-CORELS_runtime,QUANTILE-CORELS_acc,QUANTILE-CORELS_adj_bal_acc,QUANTILE-CORELS_recall,QUANTILE-CORELS_precision,QUANTILE-CORELS_f2,QUANTILE-CORELS_f,QUANTILE-CORELS_nof_rules,QUANTILE-CORELS_sum_preds,QUANTILE-CORELS_max_preds,QUANTILE-CORELS_avg_preds,TREES-CORELS2_runtime,TREES-CORELS2_acc,TREES-CORELS2_adj_bal_acc,TREES-CORELS2_recall,TREES-CORELS2_precision,TREES-CORELS2_f2,TREES-CORELS2_f,TREES-CORELS2_nof_rules,TREES-CORELS2_sum_preds,TREES-CORELS2_max_preds,TREES-CORELS2_avg_preds,TREES2-CORELS2_runtime,TREES2-CORELS2_acc,TREES2-CORELS2_adj_bal_acc,TREES2-CORELS2_recall,TREES2-CORELS2_precision,TREES2-CORELS2_f2,TREES2-CORELS2_f,TREES2-CORELS2_nof_rules,TREES2-CORELS2_sum_preds,TREES2-CORELS2_max_preds,TREES2-CORELS2_avg_preds,LENC-CART:4_f,TREES-RIPPER_runtime,TREES-RIPPER_acc,TREES-RIPPER_adj_bal_acc,TREES-RIPPER_recall,TREES-RIPPER_precision,TREES-RIPPER_f2,TREES-RIPPER_f,TREES-RIPPER_nof_rules,TREES-RIPPER_sum_preds,TREES-RIPPER_max_preds,TREES-RIPPER_avg_preds,LENC-CART:4_runtime,LENC-CART:4_acc,LENC-CART:4_adj_bal_acc,LENC-CART:4_recall,LENC-CART:4_precision,LENC-CART:4_f2,LENC-CART:4_nof_rules,LENC-CART:4_sum_preds,LENC-CART:4_max_preds,LENC-CART:4_avg_preds,QUANTILE-RIPPERexception,QUANTILE-BRCGexception,LENC-CART:*exception,TREES2-BRCG2exception,TREES-BRCG2exception,TREES-BRCGexception,LENC-CART:4exception,NATIVE-RIPPERexception,NATIVE-RIPPER2exception,NATIVE-RIPPER3exception,TREES-RIPPERexception
german_credit,1000,21,7,13,300,0.3,credit,organic,20.0,0.12,0.75,0.36,0.5,0.58,0.51,0.54,0.01,0.7,0.3,0.53,0.48,0.52,0.51,18.0,100.0,6.0,5.56,0.01,0.69,0.27,0.51,0.46,0.5,0.49,68.0,663.0,16.0,9.75,26.0,1.62,0.73,0.29,0.44,0.54,0.46,0.49,4.0,13.0,6.0,3.25,20.0,0.03,0.71,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.69,0.23,0.44,0.45,0.44,0.45,19.0,56.0,5.0,2.95,0.17,0.69,0.23,0.44,0.45,0.44,0.45,19.0,56.0,5.0,2.95,0.04,0.71,0.22,0.36,0.5,0.38,0.42,1.0,2.0,2.0,2.0,3.49,0.72,0.24,0.37,0.52,0.4,0.44,6.0,21.0,7.0,3.5,44.0,2.94,0.76,0.23,0.28,0.71,0.32,0.4,10.0,26.0,4.0,2.6,2.57,0.76,0.21,0.26,0.71,0.29,0.38,4.0,10.0,3.0,2.5,174.0,8.45,0.73,0.22,0.31,0.56,0.34,0.4,10.0,38.0,7.0,3.8,4.82,0.71,0.0,0.0,1.0,0.0,0.0,3.0,19.0,9.0,6.33,8.87,0.72,0.31,0.49,0.52,0.49,0.5,24.0,104.0,10.0,4.33,0.3,0.73,0.13,0.19,0.57,0.22,0.28,3.0,13.0,5.0,4.33,0.19,0.73,0.24,0.37,0.53,0.4,0.44,1.0,2.0,2.0,2.0,0.08,0.71,0.18,0.3,0.49,0.33,0.37,1.0,3.0,3.0,3.0,0.24,0.74,0.26,0.36,0.58,0.39,0.45,1.0,3.0,3.0,3.0,0.56,,,,,,,,,,,,0.01,0.74,0.38,0.57,0.55,0.57,7.0,28.0,4.0,4.0,,,,,,,,,,,
taiwan_credit,30000,24,14,9,6636,0.2212,credit,organic,23.0,1.03,0.82,0.3,0.35,0.63,0.39,0.45,0.16,0.82,0.32,0.37,0.65,0.41,0.47,19.0,113.0,6.0,5.95,0.3,0.73,0.22,0.41,0.38,0.4,0.39,1592.0,27451.0,35.0,17.24,28.0,1.53,0.82,0.28,0.31,0.71,0.35,0.43,2.0,3.0,2.0,1.5,23.0,5.56,0.82,0.3,0.34,0.68,0.38,0.46,9.0,34.0,7.0,3.78,4.79,0.82,0.3,0.34,0.68,0.38,0.46,6.0,21.0,5.0,3.5,6.28,0.82,0.3,0.34,0.68,0.38,0.46,6.0,21.0,5.0,3.5,2.14,0.82,0.28,0.32,0.7,0.36,0.44,2.0,4.0,2.0,2.0,5.0,0.82,0.28,0.31,0.71,0.35,0.43,3.0,6.0,3.0,2.0,52.0,6.23,0.82,0.28,0.31,0.71,0.35,0.43,2.0,3.0,2.0,1.5,2.59,0.82,0.28,0.31,0.71,0.35,0.43,2.0,3.0,2.0,1.5,394.0,18.63,0.82,0.24,0.28,0.69,0.31,0.39,1.0,1.0,1.0,1.0,148.02,0.81,0.33,0.41,0.59,0.43,0.48,3.0,5.0,2.0,1.67,47.44,0.82,0.26,0.29,0.72,0.33,0.41,2.0,4.0,2.0,2.0,33.4,0.82,0.31,0.37,0.64,0.4,0.47,18.0,115.0,9.0,6.39,39.13,0.82,0.28,0.32,0.7,0.36,0.44,2.0,4.0,2.0,2.0,1.59,0.83,0.3,0.34,0.7,0.38,0.46,3.0,6.0,2.0,2.0,19.88,0.82,0.28,0.32,0.7,0.36,0.44,2.0,4.0,2.0,2.0,0.43,0.25,0.78,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.82,0.28,0.31,0.71,0.35,3.0,12.0,4.0,4.0,,,,,,,,,,,
compas,7210,8,0,7,3250,0.4508,recidivism,organic,7.0,0.13,0.65,0.3,0.59,0.64,0.6,0.61,0.01,0.65,0.3,0.6,0.63,0.61,0.61,33.0,192.0,6.0,5.82,0.01,0.66,0.3,0.58,0.64,0.59,0.61,85.0,684.0,11.0,8.05,20.0,1.14,0.64,0.27,0.53,0.64,0.55,0.58,3.0,4.0,2.0,1.33,7.0,0.01,0.54,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.54,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.54,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.63,0.25,0.48,0.64,0.5,0.55,2.0,4.0,2.0,2.0,2.96,0.64,0.26,0.51,0.63,0.53,0.56,3.0,6.0,3.0,2.0,28.0,4.18,0.63,0.23,0.43,0.65,0.46,0.52,3.0,12.0,8.0,4.0,1.47,0.65,0.29,0.56,0.64,0.57,0.6,3.0,7.0,4.0,2.33,28.0,1.52,0.65,0.29,0.56,0.64,0.57,0.6,3.0,7.0,4.0,2.33,26.23,0.64,0.26,0.52,0.63,0.54,0.57,2.0,2.0,1.0,1.0,4.45,0.63,0.23,0.43,0.65,0.46,0.52,3.0,12.0,8.0,4.0,0.07,0.54,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.63,0.25,0.48,0.64,0.5,0.55,2.0,4.0,2.0,2.0,0.13,0.64,0.26,0.53,0.63,0.55,0.58,3.0,6.0,2.0,2.0,0.3,0.64,0.26,0.53,0.63,0.55,0.58,3.0,6.0,2.0,2.0,0.63,0.08,0.54,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.66,0.32,0.61,0.64,0.62,11.0,44.0,4.0,4.0,,,,,,,,,,,
fraud_detection,284807,31,30,0,492,0.0017,transaction-fraud,organic,30.0,10.55,1.0,0.77,0.77,0.96,0.8,0.85,3.4,1.0,0.77,0.77,0.89,0.79,0.82,17.0,92.0,6.0,5.41,8.2,1.0,0.75,0.75,0.8,0.76,0.77,69.0,864.0,22.0,12.52,26.0,2.77,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1068.28,1.0,0.73,0.73,0.93,0.77,0.82,5.0,21.0,6.0,4.2,835.15,1.0,0.71,0.71,0.88,0.74,0.79,4.0,14.0,5.0,3.5,808.9,1.0,0.71,0.71,0.88,0.74,0.79,4.0,14.0,5.0,3.5,5.15,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15,1.0,0.68,0.68,0.86,0.71,0.76,1.0,2.0,2.0,2.0,42.0,4.09,1.0,0.68,0.68,0.86,0.71,0.76,1.0,2.0,2.0,2.0,3.57,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,8.56,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1239.59,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.18,1.0,0.69,0.69,0.8,0.71,0.74,1.0,3.0,3.0,3.0,203.21,1.0,0.75,0.76,0.9,0.78,0.82,6.0,39.0,8.0,6.5,5441.81,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.01,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,,,,,,,,,,,,2.26,1.0,0.78,0.78,0.9,0.8,7.0,27.0,4.0,3.86,,,,,,,,,,,
fraud_oracle,15420,33,8,24,923,0.0599,insurance-fraud,organic,32.0,0.46,0.95,0.28,0.28,0.76,0.32,0.41,0.1,0.94,0.05,0.05,0.78,0.06,0.1,6.0,32.0,6.0,5.33,0.12,0.91,0.29,0.34,0.3,0.33,0.32,281.0,3948.0,25.0,14.05,26.0,0.54,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.13,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.94,0.03,0.03,1.0,0.04,0.06,1.0,5.0,5.0,5.0,40.0,1.96,0.94,0.03,0.03,1.0,0.04,0.06,1.0,5.0,5.0,5.0,0.77,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,1.44,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,71.95,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43,0.94,0.01,0.01,0.6,0.01,0.02,1.0,3.0,3.0,3.0,2.26,0.94,0.02,0.02,0.83,0.02,0.04,2.0,16.0,8.0,8.0,14.5,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.18,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.94,0.03,0.03,0.45,0.04,2.0,7.0,4.0,3.5,,,,,,,,,,,
bike_75,8760,14,9,4,61,0.007,demand-prediction,organic,13.0,0.13,0.99,0.47,0.47,0.44,0.47,0.46,0.01,0.99,0.53,0.53,0.45,0.51,0.49,4.0,22.0,6.0,5.5,0.01,0.99,0.46,0.47,0.31,0.43,0.37,18.0,144.0,11.0,8.0,14.0,0.14,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.13,0.99,0.29,0.29,0.26,0.29,0.28,2.0,7.0,5.0,3.5,0.25,0.99,0.52,0.53,0.31,0.46,0.39,8.0,34.0,6.0,4.25,0.25,0.99,0.52,0.53,0.31,0.46,0.39,8.0,34.0,6.0,4.25,0.07,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.99,0.58,0.59,0.38,0.53,0.47,1.0,4.0,4.0,4.0,20.0,0.4,0.99,0.58,0.59,0.42,0.54,0.49,2.0,7.0,5.0,3.5,0.13,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,864.0,0.5,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.27,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.33,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.1,0.97,0.97,1.0,0.17,0.51,0.29,3.0,10.0,4.0,3.33,0.01,0.99,0.58,0.59,0.38,0.53,1.0,4.0,4.0,4.0,,,,,,,,,,,
bike_mean,8760,14,9,4,3523,0.4022,demand-prediction,organic,13.0,0.22,0.93,0.86,0.93,0.9,0.92,0.91,0.02,0.9,0.8,0.92,0.83,0.9,0.87,12.0,71.0,6.0,5.92,0.03,0.9,0.8,0.89,0.87,0.88,0.88,221.0,2863.0,24.0,12.95,28.0,2.65,0.89,0.8,0.94,0.81,0.91,0.87,3.0,12.0,5.0,4.0,13.0,1.2,0.9,0.8,0.89,0.86,0.89,0.88,23.0,118.0,9.0,5.13,0.96,0.91,0.82,0.9,0.87,0.89,0.89,21.0,113.0,7.0,5.38,0.96,0.91,0.82,0.9,0.87,0.89,0.89,21.0,113.0,7.0,5.38,0.13,0.85,0.7,0.87,0.76,0.85,0.81,2.0,6.0,3.0,3.0,2.76,0.9,0.81,0.94,0.81,0.91,0.87,4.0,26.0,10.0,6.5,54.0,3.18,0.89,0.78,0.9,0.83,0.88,0.86,4.0,14.0,6.0,3.5,2.87,0.89,0.78,0.9,0.83,0.88,0.86,2.0,8.0,5.0,4.0,864.0,40.18,0.88,0.75,0.86,0.83,0.85,0.84,1.0,6.0,6.0,6.0,64.98,0.71,0.43,0.73,0.6,0.7,0.66,2.0,3.0,2.0,1.5,109.42,0.88,0.75,0.83,0.86,0.83,0.85,25.0,59.0,6.0,2.36,15.08,0.89,0.78,0.89,0.84,0.88,0.86,18.0,112.0,9.0,6.22,11.93,0.73,0.49,0.8,0.61,0.76,0.7,1.0,2.0,2.0,2.0,0.38,0.85,0.7,0.86,0.78,0.84,0.81,1.0,3.0,3.0,3.0,4.29,0.85,0.7,0.86,0.78,0.84,0.81,1.0,3.0,3.0,3.0,0.87,0.11,0.62,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.89,0.8,0.94,0.8,0.91,3.0,12.0,4.0,4.0,,,,,,,,,,,
orange_up,50000,213,174,38,3682,0.0736,product recommendation,organic,212.0,4.15,0.95,0.42,0.43,0.79,0.47,0.56,0.98,0.95,0.45,0.46,0.75,0.5,0.57,19.0,107.0,6.0,5.63,2.04,0.91,0.37,0.43,0.36,0.41,0.39,918.0,18799.0,45.0,20.48,28.0,109.78,0.95,0.44,0.45,0.8,0.49,0.58,1.0,4.0,4.0,4.0,212.0,28.72,0.95,0.41,0.42,0.8,0.46,0.55,10.0,47.0,7.0,4.7,21.39,0.95,0.43,0.44,0.78,0.48,0.56,7.0,40.0,7.0,5.71,22.99,0.95,0.45,0.46,0.78,0.5,0.57,6.0,21.0,5.0,3.5,112.45,0.95,0.44,0.45,0.77,0.49,0.57,2.0,6.0,3.0,3.0,109.49,0.95,0.44,0.45,0.8,0.49,0.58,1.0,4.0,4.0,4.0,50.0,112.01,0.95,0.44,0.45,0.8,0.49,0.58,1.0,4.0,4.0,4.0,111.53,0.95,0.44,0.45,0.8,0.49,0.58,1.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.4,0.95,0.44,0.45,0.8,0.49,0.58,3.0,12.0,4.0,4.0,119.15,0.95,0.44,0.45,0.77,0.49,0.57,1.0,3.0,3.0,3.0,0.57,105.57,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.95,0.44,0.45,0.79,0.49,3.0,12.0,4.0,4.0,,,,,,,,,,,
orange_churn,50000,213,174,38,3672,0.0734,churn,organic,212.0,4.07,0.92,0.03,0.04,0.41,0.05,0.07,0.98,0.93,0.04,0.04,0.64,0.05,0.08,22.0,126.0,6.0,5.73,2.43,0.86,0.09,0.17,0.15,0.17,0.16,1302.0,29214.0,50.0,22.44,26.0,107.38,0.92,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,1.72,0.92,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.92,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43,0.92,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,107.19,0.92,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,108.47,0.93,0.01,0.01,0.61,0.01,0.02,1.0,4.0,4.0,4.0,52.0,111.52,0.93,0.01,0.01,0.61,0.01,0.02,1.0,4.0,4.0,4.0,109.64,0.92,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.67,0.92,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,126.43,0.92,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,106.51,0.92,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.92,0.01,0.01,0.44,0.02,4.0,16.0,4.0,4.0,,,,,,,,,,,
adult,32561,13,4,8,7841,0.2408,income-prediction,organic,12.0,0.47,0.87,0.6,0.67,0.76,0.69,0.71,0.07,0.84,0.43,0.48,0.77,0.51,0.59,18.0,102.0,6.0,5.67,0.09,0.82,0.48,0.6,0.62,0.6,0.61,1736.0,35036.0,37.0,20.18,26.0,3.1,0.83,0.4,0.44,0.76,0.48,0.56,3.0,6.0,3.0,2.0,12.0,8.29,0.85,0.52,0.58,0.76,0.61,0.66,36.0,197.0,10.0,5.47,7.25,0.84,0.5,0.58,0.71,0.6,0.64,34.0,175.0,11.0,5.15,7.28,0.84,0.5,0.58,0.71,0.6,0.64,34.0,175.0,11.0,5.15,0.37,0.82,0.27,0.29,0.86,0.33,0.43,2.0,4.0,2.0,2.0,6.03,0.84,0.4,0.44,0.79,0.48,0.56,6.0,19.0,6.0,3.17,46.0,6.91,0.84,0.43,0.46,0.79,0.51,0.59,6.0,18.0,7.0,3.0,4.11,0.83,0.4,0.44,0.77,0.48,0.56,3.0,6.0,3.0,2.0,234.0,27.65,0.82,0.49,0.6,0.63,0.61,0.62,1.0,10.0,10.0,10.0,181.63,0.8,0.25,0.28,0.71,0.32,0.4,3.0,7.0,3.0,2.33,42.63,0.82,0.48,0.58,0.64,0.59,0.61,2.0,11.0,9.0,5.5,63.88,0.83,0.52,0.62,0.66,0.63,0.64,53.0,372.0,11.0,7.02,6.65,0.79,0.2,0.24,0.67,0.27,0.35,1.0,2.0,2.0,2.0,0.89,0.82,0.27,0.29,0.86,0.33,0.43,2.0,4.0,2.0,2.0,6.24,0.82,0.27,0.29,0.86,0.33,0.43,2.0,4.0,2.0,2.0,0.41,0.2,0.76,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.82,0.26,0.26,0.96,0.31,6.0,23.0,4.0,3.83,,,,,,,,,,,
