data_set,nof_rows,nof_col,nof_num_features,nof_cat_features,nof_pos,pos_ratio,use_case,origin,LENC_nof_bin_cols,LENC-XGB_runtime,LENC-XGB_acc,LENC-XGB_adj_bal_acc,LENC-XGB_recall,LENC-XGB_precision,LENC-XGB_f2,LENC-XGB_f,LENC-CART:4_runtime,LENC-CART:4_acc,LENC-CART:4_adj_bal_acc,LENC-CART:4_recall,LENC-CART:4_precision,LENC-CART:4_f2,LENC-CART:4_f,LENC-CART:4_nof_rules,LENC-CART:4_sum_preds,LENC-CART:4_max_preds,LENC-CART:4_avg_preds,LENC-CART:6_runtime,LENC-CART:6_acc,LENC-CART:6_adj_bal_acc,LENC-CART:6_recall,LENC-CART:6_precision,LENC-CART:6_f2,LENC-CART:6_f,LENC-CART:6_nof_rules,LENC-CART:6_sum_preds,LENC-CART:6_max_preds,LENC-CART:6_avg_preds,LENC-CART:*_runtime,LENC-CART:*_acc,LENC-CART:*_adj_bal_acc,LENC-CART:*_recall,LENC-CART:*_precision,LENC-CART:*_f2,LENC-CART:*_f,LENC-CART:*_nof_rules,LENC-CART:*_sum_preds,LENC-CART:*_max_preds,LENC-CART:*_avg_preds,TREES_nof_bin_cols,TREES-BRCG_runtime,TREES-BRCG_acc,TREES-BRCG_adj_bal_acc,TREES-BRCG_recall,TREES-BRCG_precision,TREES-BRCG_f2,TREES-BRCG_f,TREES-BRCG_nof_rules,TREES-BRCG_sum_preds,TREES-BRCG_max_preds,TREES-BRCG_avg_preds,NATIVE_nof_bin_cols,NATIVE-RIPPER_runtime,NATIVE-RIPPER_acc,NATIVE-RIPPER_adj_bal_acc,NATIVE-RIPPER_recall,NATIVE-RIPPER_precision,NATIVE-RIPPER_f2,NATIVE-RIPPER_f,NATIVE-RIPPER_nof_rules,NATIVE-RIPPER_sum_preds,NATIVE-RIPPER_max_preds,NATIVE-RIPPER_avg_preds,NATIVE-RIPPER2_runtime,NATIVE-RIPPER2_acc,NATIVE-RIPPER2_adj_bal_acc,NATIVE-RIPPER2_recall,NATIVE-RIPPER2_precision,NATIVE-RIPPER2_f2,NATIVE-RIPPER2_f,NATIVE-RIPPER2_nof_rules,NATIVE-RIPPER2_sum_preds,NATIVE-RIPPER2_max_preds,NATIVE-RIPPER2_avg_preds,NATIVE-RIPPER3_runtime,NATIVE-RIPPER3_acc,NATIVE-RIPPER3_adj_bal_acc,NATIVE-RIPPER3_recall,NATIVE-RIPPER3_precision,NATIVE-RIPPER3_f2,NATIVE-RIPPER3_f,NATIVE-RIPPER3_nof_rules,NATIVE-RIPPER3_sum_preds,NATIVE-RIPPER3_max_preds,NATIVE-RIPPER3_avg_preds,TREES-CORELS_runtime,TREES-CORELS_acc,TREES-CORELS_adj_bal_acc,TREES-CORELS_recall,TREES-CORELS_precision,TREES-CORELS_f2,TREES-CORELS_f,TREES-CORELS_nof_rules,TREES-CORELS_sum_preds,TREES-CORELS_max_preds,TREES-CORELS_avg_preds,TREES-BRCG2_runtime,TREES-BRCG2_acc,TREES-BRCG2_adj_bal_acc,TREES-BRCG2_recall,TREES-BRCG2_precision,TREES-BRCG2_f2,TREES-BRCG2_f,TREES-BRCG2_nof_rules,TREES-BRCG2_sum_preds,TREES-BRCG2_max_preds,TREES-BRCG2_avg_preds,TREES2_nof_bin_cols,TREES2-BRCG2_runtime,TREES2-BRCG2_acc,TREES2-BRCG2_adj_bal_acc,TREES2-BRCG2_recall,TREES2-BRCG2_precision,TREES2-BRCG2_f2,TREES2-BRCG2_f,TREES2-BRCG2_nof_rules,TREES2-BRCG2_sum_preds,TREES2-BRCG2_max_preds,TREES2-BRCG2_avg_preds,TREES2-BRCG_runtime,TREES2-BRCG_acc,TREES2-BRCG_adj_bal_acc,TREES2-BRCG_recall,TREES2-BRCG_precision,TREES2-BRCG_f2,TREES2-BRCG_f,TREES2-BRCG_nof_rules,TREES2-BRCG_sum_preds,TREES2-BRCG_max_preds,TREES2-BRCG_avg_preds,QUANTILE_nof_bin_cols,QUANTILE-BRCG_runtime,QUANTILE-BRCG_acc,QUANTILE-BRCG_adj_bal_acc,QUANTILE-BRCG_recall,QUANTILE-BRCG_precision,QUANTILE-BRCG_f2,QUANTILE-BRCG_f,QUANTILE-BRCG_nof_rules,QUANTILE-BRCG_sum_preds,QUANTILE-BRCG_max_preds,QUANTILE-BRCG_avg_preds,NATIVE-R2N_runtime,NATIVE-R2N_acc,NATIVE-R2N_adj_bal_acc,NATIVE-R2N_recall,NATIVE-R2N_precision,NATIVE-R2N_f2,NATIVE-R2N_f,NATIVE-R2N_nof_rules,NATIVE-R2N_sum_preds,NATIVE-R2N_max_preds,NATIVE-R2N_avg_preds,QUANTILE-BRCG2_runtime,QUANTILE-BRCG2_acc,QUANTILE-BRCG2_adj_bal_acc,QUANTILE-BRCG2_recall,QUANTILE-BRCG2_precision,QUANTILE-BRCG2_f2,QUANTILE-BRCG2_f,QUANTILE-BRCG2_nof_rules,QUANTILE-BRCG2_sum_preds,QUANTILE-BRCG2_max_preds,QUANTILE-BRCG2_avg_preds,QUANTILE-RIPPER_runtime,QUANTILE-RIPPER_acc,QUANTILE-RIPPER_adj_bal_acc,QUANTILE-RIPPER_recall,QUANTILE-RIPPER_precision,QUANTILE-RIPPER_f2,QUANTILE-RIPPER_f,QUANTILE-RIPPER_nof_rules,QUANTILE-RIPPER_sum_preds,QUANTILE-RIPPER_max_preds,QUANTILE-RIPPER_avg_preds,QUANTILE-CORELS_runtime,QUANTILE-CORELS_acc,QUANTILE-CORELS_adj_bal_acc,QUANTILE-CORELS_recall,QUANTILE-CORELS_precision,QUANTILE-CORELS_f2,QUANTILE-CORELS_f,QUANTILE-CORELS_nof_rules,QUANTILE-CORELS_sum_preds,QUANTILE-CORELS_max_preds,QUANTILE-CORELS_avg_preds,TREES-CORELS2_runtime,TREES-CORELS2_acc,TREES-CORELS2_adj_bal_acc,TREES-CORELS2_recall,TREES-CORELS2_precision,TREES-CORELS2_f2,TREES-CORELS2_f,TREES-CORELS2_nof_rules,TREES-CORELS2_sum_preds,TREES-CORELS2_max_preds,TREES-CORELS2_avg_preds,TREES2-CORELS2_runtime,TREES2-CORELS2_acc,TREES2-CORELS2_adj_bal_acc,TREES2-CORELS2_recall,TREES2-CORELS2_precision,TREES2-CORELS2_f2,TREES2-CORELS2_f,TREES2-CORELS2_nof_rules,TREES2-CORELS2_sum_preds,TREES2-CORELS2_max_preds,TREES2-CORELS2_avg_preds,TREES-RIPPER_runtime,TREES-RIPPER_acc,TREES-RIPPER_adj_bal_acc,TREES-RIPPER_recall,TREES-RIPPER_precision,TREES-RIPPER_f2,TREES-RIPPER_f,TREES-RIPPER_nof_rules,TREES-RIPPER_sum_preds,TREES-RIPPER_max_preds,TREES-RIPPER_avg_preds,QUANTILE-RIPPERexception,LENC-CART:*exception,TREES-BRCG2exception,TREES-BRCGexception,TREES2-BRCGexception
german_credit,1000,21,7,13,300,0.3,credit,organic,20.0,0.05,0.72,0.26,0.43,0.51,0.44,0.47,0.01,0.75,0.36,0.51,0.58,0.52,0.54,7.0,28.0,4.0,4.0,0.0,0.75,0.42,0.62,0.56,0.61,0.59,19.0,103.0,6.0,5.42,0.01,0.69,0.28,0.51,0.47,0.5,0.49,70.0,675.0,17.0,9.64,26.0,2.15,0.74,0.16,0.2,0.68,0.23,0.31,3.0,10.0,5.0,3.33,20.0,0.05,0.73,0.12,0.17,0.58,0.2,0.27,2.0,6.0,5.0,3.0,0.28,0.72,0.26,0.42,0.52,0.44,0.46,17.0,54.0,6.0,3.18,0.16,0.72,0.26,0.42,0.52,0.44,0.46,17.0,54.0,6.0,3.18,0.04,0.73,0.07,0.09,0.67,0.11,0.16,2.0,4.0,2.0,2.0,3.11,0.74,0.16,0.21,0.64,0.24,0.32,5.0,24.0,10.0,4.8,50.0,4.33,0.7,0.19,0.34,0.48,0.36,0.39,20.0,83.0,7.0,4.15,3.26,0.72,0.23,0.36,0.53,0.38,0.43,8.0,30.0,6.0,3.75,174.0,6.47,0.72,0.26,0.42,0.51,0.43,0.46,11.0,48.0,10.0,4.36,4.66,0.71,0.0,0.0,1.0,0.0,0.0,3.0,19.0,9.0,6.33,8.82,0.69,0.25,0.47,0.46,0.46,0.46,25.0,98.0,10.0,3.92,0.26,0.72,0.1,0.16,0.52,0.19,0.25,2.0,14.0,8.0,7.0,0.19,0.73,0.21,0.31,0.55,0.34,0.4,1.0,2.0,2.0,2.0,0.07,0.74,0.24,0.33,0.6,0.36,0.42,1.0,3.0,3.0,3.0,0.35,0.73,0.21,0.33,0.54,0.35,0.41,1.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,
taiwan_credit,30000,24,14,9,6636,0.2212,credit,organic,23.0,0.93,0.82,0.31,0.37,0.66,0.4,0.47,0.1,0.82,0.26,0.3,0.7,0.33,0.42,3.0,12.0,4.0,4.0,0.13,0.81,0.28,0.33,0.67,0.37,0.44,18.0,106.0,6.0,5.89,0.27,0.72,0.23,0.42,0.39,0.41,0.4,1606.0,28110.0,37.0,17.5,30.0,1.49,0.82,0.26,0.3,0.7,0.34,0.42,2.0,2.0,1.0,1.0,23.0,6.55,0.81,0.28,0.33,0.66,0.37,0.44,11.0,47.0,6.0,4.27,6.42,0.81,0.28,0.33,0.66,0.37,0.44,11.0,47.0,6.0,4.27,6.48,0.81,0.28,0.33,0.66,0.37,0.44,11.0,47.0,6.0,4.27,2.7,0.82,0.26,0.3,0.7,0.34,0.42,2.0,4.0,2.0,2.0,4.66,0.82,0.25,0.29,0.71,0.33,0.41,2.0,4.0,3.0,2.0,58.0,5.52,0.82,0.26,0.3,0.71,0.34,0.42,3.0,5.0,2.0,1.67,2.6,0.82,0.26,0.3,0.7,0.34,0.42,2.0,2.0,1.0,1.0,396.0,15.81,0.82,0.26,0.3,0.7,0.34,0.42,2.0,2.0,1.0,1.0,143.79,0.82,0.26,0.29,0.7,0.33,0.41,2.0,3.0,2.0,1.5,46.02,0.82,0.26,0.3,0.71,0.34,0.42,2.0,3.0,2.0,1.5,21.52,0.82,0.29,0.33,0.67,0.37,0.45,11.0,62.0,10.0,5.64,38.43,0.82,0.26,0.3,0.7,0.34,0.42,2.0,4.0,2.0,2.0,2.34,0.82,0.28,0.32,0.69,0.36,0.44,3.0,6.0,2.0,2.0,29.67,0.82,0.26,0.3,0.7,0.34,0.42,2.0,4.0,2.0,2.0,0.24,0.78,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
compas,7210,8,0,7,3250,0.4508,recidivism,organic,7.0,0.09,0.67,0.33,0.55,0.68,0.57,0.61,0.01,0.67,0.32,0.55,0.67,0.57,0.6,10.0,40.0,4.0,4.0,0.01,0.67,0.32,0.53,0.68,0.55,0.59,25.0,142.0,6.0,5.68,0.01,0.67,0.32,0.54,0.67,0.57,0.6,83.0,691.0,11.0,8.33,22.0,1.2,0.67,0.33,0.55,0.68,0.57,0.61,3.0,5.0,3.0,1.67,7.0,0.01,0.54,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.54,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.54,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.65,0.28,0.49,0.67,0.52,0.56,2.0,4.0,2.0,2.0,3.21,0.65,0.28,0.49,0.67,0.52,0.56,2.0,2.0,1.0,1.0,22.0,3.07,0.65,0.28,0.49,0.67,0.52,0.56,2.0,2.0,1.0,1.0,1.45,0.66,0.3,0.52,0.67,0.54,0.58,3.0,5.0,3.0,1.67,28.0,1.74,0.67,0.32,0.56,0.67,0.58,0.61,4.0,13.0,6.0,3.25,25.65,0.65,0.28,0.49,0.67,0.52,0.56,2.0,2.0,1.0,1.0,4.23,0.65,0.28,0.49,0.67,0.52,0.56,2.0,2.0,1.0,1.0,0.06,0.54,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.65,0.28,0.49,0.67,0.52,0.56,2.0,4.0,2.0,2.0,0.17,0.67,0.32,0.56,0.66,0.58,0.61,3.0,6.0,2.0,2.0,0.16,0.67,0.32,0.56,0.66,0.58,0.61,3.0,6.0,2.0,2.0,0.05,0.54,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
fraud_detection,284807,31,30,0,492,0.0017,transaction-fraud,organic,30.0,10.1,1.0,0.76,0.76,0.94,0.79,0.84,2.24,1.0,0.73,0.73,0.82,0.74,0.77,6.0,23.0,4.0,3.83,3.35,1.0,0.72,0.72,0.87,0.75,0.79,14.0,74.0,6.0,5.29,8.56,1.0,0.7,0.7,0.73,0.71,0.71,65.0,733.0,20.0,11.28,26.0,2.72,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1127.56,1.0,0.7,0.7,0.88,0.73,0.78,6.0,23.0,5.0,3.83,1239.03,1.0,0.7,0.7,0.88,0.73,0.78,6.0,23.0,5.0,3.83,1460.23,1.0,0.7,0.7,0.88,0.73,0.78,6.0,23.0,5.0,3.83,5.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48,1.0,0.67,0.67,0.83,0.7,0.75,1.0,2.0,2.0,2.0,44.0,4.7,1.0,0.67,0.67,0.83,0.7,0.75,1.0,2.0,2.0,2.0,3.62,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,9.29,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1229.67,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.43,1.0,0.67,0.67,0.75,0.68,0.71,1.0,3.0,3.0,3.0,171.38,1.0,0.72,0.72,0.81,0.73,0.76,9.0,62.0,8.0,6.89,1712.21,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.84,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.67,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
fraud_oracle,15420,33,8,24,923,0.0599,insurance-fraud,organic,32.0,0.48,0.95,0.31,0.31,0.8,0.36,0.45,0.08,0.93,0.03,0.04,0.48,0.04,0.07,4.0,14.0,4.0,3.5,0.08,0.93,0.04,0.05,0.64,0.06,0.08,8.0,39.0,6.0,4.88,0.1,0.9,0.25,0.3,0.28,0.3,0.29,285.0,4663.0,30.0,16.36,26.0,0.53,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.12,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.94,0.04,0.04,0.85,0.04,0.07,2.0,7.0,4.0,3.5,38.0,2.48,0.94,0.04,0.04,0.92,0.04,0.07,2.0,8.0,5.0,4.0,0.72,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0,1.43,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75.28,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.34,0.93,0.0,0.0,0.5,0.0,0.01,1.0,3.0,3.0,3.0,2.39,0.94,0.05,0.05,0.73,0.06,0.1,2.0,15.0,8.0,7.5,14.97,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,115.82,0.94,0.03,0.03,0.91,0.04,0.06,2.0,8.0,4.0,4.0,1.65,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.36,0.3,0.98,0.09,0.34,0.17,14.0,66.0,7.0,4.71,,,,,
bike_75,8760,14,9,4,61,0.007,demand-prediction,organic,13.0,0.14,0.99,0.46,0.47,0.54,0.48,0.5,0.01,0.99,0.6,0.6,0.45,0.56,0.51,1.0,4.0,4.0,4.0,0.01,0.99,0.53,0.53,0.42,0.51,0.47,7.0,41.0,6.0,5.86,0.01,0.99,0.46,0.47,0.39,0.45,0.42,16.0,122.0,10.0,7.62,14.0,0.12,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.42,0.99,0.6,0.6,0.47,0.57,0.53,9.0,42.0,8.0,4.67,0.31,0.99,0.6,0.6,0.47,0.57,0.53,9.0,42.0,8.0,4.67,0.3,0.99,0.6,0.6,0.47,0.57,0.53,9.0,42.0,8.0,4.67,0.07,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.99,0.6,0.6,0.45,0.56,0.51,1.0,4.0,4.0,4.0,26.0,0.49,0.99,0.46,0.47,0.47,0.47,0.47,2.0,7.0,5.0,3.5,0.15,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,864.0,0.48,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.58,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.99,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.3,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.69,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.93,0.87,0.93,0.07,0.28,0.14,4.0,11.0,4.0,2.75,,,,,
bike_mean,8760,14,9,4,3523,0.4022,demand-prediction,organic,13.0,0.2,0.93,0.86,0.92,0.91,0.92,0.92,0.01,0.89,0.79,0.92,0.84,0.9,0.88,3.0,12.0,4.0,4.0,0.02,0.91,0.82,0.92,0.86,0.91,0.89,17.0,102.0,6.0,6.0,0.02,0.9,0.8,0.87,0.89,0.88,0.88,211.0,2610.0,21.0,12.37,28.0,2.31,0.9,0.8,0.92,0.84,0.9,0.88,3.0,11.0,4.0,3.67,13.0,0.94,0.91,0.81,0.87,0.91,0.88,0.89,18.0,98.0,9.0,5.44,0.8,0.91,0.81,0.87,0.91,0.88,0.89,18.0,98.0,9.0,5.44,0.81,0.91,0.81,0.87,0.91,0.88,0.89,18.0,98.0,9.0,5.44,0.13,0.85,0.69,0.84,0.8,0.83,0.82,2.0,6.0,3.0,3.0,3.3,0.9,0.8,0.92,0.84,0.9,0.88,4.0,13.0,4.0,3.25,56.0,3.19,0.87,0.72,0.81,0.86,0.82,0.83,6.0,17.0,5.0,2.83,2.72,0.88,0.76,0.86,0.86,0.86,0.86,2.0,7.0,4.0,3.5,864.0,39.16,0.87,0.73,0.84,0.85,0.84,0.84,1.0,6.0,6.0,6.0,66.01,0.71,0.43,0.72,0.63,0.7,0.68,2.0,3.0,2.0,1.5,111.82,0.87,0.73,0.84,0.85,0.84,0.84,19.0,52.0,10.0,2.74,17.43,0.9,0.79,0.88,0.88,0.88,0.88,21.0,137.0,9.0,6.52,11.0,0.75,0.51,0.8,0.66,0.77,0.72,1.0,2.0,2.0,2.0,0.35,0.84,0.68,0.81,0.81,0.81,0.81,1.0,3.0,3.0,3.0,4.84,0.84,0.68,0.81,0.81,0.81,0.81,1.0,3.0,3.0,3.0,0.1,0.58,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
orange_up,50000,213,174,38,3682,0.0736,product recommendation,organic,212.0,4.07,0.95,0.41,0.42,0.84,0.47,0.56,0.74,0.95,0.42,0.43,0.81,0.48,0.56,3.0,11.0,4.0,3.67,0.89,0.95,0.44,0.45,0.78,0.49,0.57,19.0,106.0,6.0,5.58,1.88,0.91,0.35,0.41,0.37,0.4,0.39,951.0,19562.0,40.0,20.57,28.0,103.14,0.95,0.42,0.43,0.81,0.48,0.56,1.0,4.0,4.0,4.0,212.0,24.94,0.95,0.4,0.41,0.8,0.45,0.54,8.0,34.0,6.0,4.25,25.72,0.95,0.4,0.41,0.8,0.45,0.54,8.0,34.0,6.0,4.25,25.9,0.95,0.4,0.41,0.8,0.45,0.54,8.0,34.0,6.0,4.25,103.28,0.95,0.42,0.43,0.8,0.48,0.56,2.0,6.0,3.0,3.0,101.58,0.95,0.42,0.43,0.81,0.48,0.56,1.0,4.0,4.0,4.0,48.0,105.34,0.95,0.42,0.43,0.81,0.48,0.56,1.0,4.0,4.0,4.0,100.85,0.95,0.42,0.43,0.81,0.48,0.56,1.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.04,0.95,0.42,0.43,0.81,0.48,0.56,3.0,12.0,4.0,4.0,114.5,0.95,0.42,0.43,0.8,0.48,0.56,1.0,3.0,3.0,3.0,97.56,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
orange_churn,50000,213,174,38,3672,0.0734,churn,organic,212.0,4.1,0.92,0.03,0.03,0.47,0.03,0.05,0.73,0.92,0.02,0.02,0.48,0.02,0.03,5.0,20.0,4.0,4.0,0.88,0.93,0.03,0.04,0.56,0.05,0.07,23.0,130.0,6.0,5.65,2.3,0.86,0.07,0.15,0.13,0.15,0.14,1318.0,28981.0,52.0,21.99,26.0,100.76,0.92,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,3.22,0.92,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05,0.92,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.07,0.92,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,101.9,0.92,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,101.01,0.92,0.01,0.01,0.48,0.01,0.02,1.0,4.0,4.0,4.0,50.0,104.52,0.92,0.01,0.01,0.48,0.01,0.02,1.0,4.0,4.0,4.0,107.61,0.92,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.25,0.92,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,116.95,0.92,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,104.9,0.92,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
adult,32561,13,4,8,7841,0.2408,income_prediction,organic,12.0,0.48,0.88,0.61,0.68,0.75,0.69,0.71,0.04,0.83,0.26,0.26,0.95,0.3,0.41,7.0,28.0,4.0,4.0,0.04,0.83,0.3,0.32,0.84,0.36,0.46,19.0,106.0,6.0,5.58,0.06,0.82,0.49,0.61,0.6,0.6,0.6,1765.0,35929.0,41.0,20.36,26.0,2.51,0.84,0.4,0.44,0.75,0.48,0.55,3.0,6.0,3.0,2.0,12.0,8.98,0.85,0.5,0.57,0.71,0.59,0.63,38.0,207.0,11.0,5.45,8.86,0.85,0.5,0.57,0.71,0.59,0.63,38.0,207.0,11.0,5.45,9.13,0.85,0.5,0.57,0.71,0.59,0.63,38.0,207.0,11.0,5.45,0.41,0.82,0.26,0.28,0.84,0.32,0.42,2.0,4.0,2.0,2.0,3.85,0.84,0.41,0.45,0.76,0.49,0.56,5.0,10.0,3.0,2.0,48.0,7.97,0.85,0.44,0.48,0.8,0.52,0.6,8.0,24.0,7.0,3.0,4.09,0.84,0.4,0.44,0.76,0.48,0.55,3.0,6.0,3.0,2.0,232.0,23.47,0.83,0.51,0.62,0.62,0.62,0.62,1.0,10.0,10.0,10.0,152.52,0.71,0.52,0.85,0.43,0.71,0.57,2.0,3.0,2.0,1.5,42.45,0.84,0.4,0.44,0.74,0.48,0.55,6.0,27.0,9.0,4.5,46.11,0.83,0.51,0.61,0.64,0.61,0.62,41.0,271.0,11.0,6.61,6.24,0.8,0.2,0.24,0.65,0.28,0.35,1.0,2.0,2.0,2.0,0.73,0.83,0.27,0.27,0.94,0.32,0.42,3.0,7.0,3.0,2.33,8.9,0.83,0.29,0.31,0.82,0.35,0.45,3.0,6.0,2.0,2.0,0.17,0.77,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
