data_set,nof_rows,nof_col,nof_num_features,nof_cat_features,nof_pos,pos_ratio,use_case,origin,LENC_nof_bin_cols,LENC-XGB_runtime,LENC-XGB_acc,LENC-XGB_adj_bal_acc,LENC-XGB_recall,LENC-XGB_precision,LENC-XGB_f2,LENC-XGB_f,LENC-CART:4_runtime,LENC-CART:4_acc,LENC-CART:4_adj_bal_acc,LENC-CART:4_recall,LENC-CART:4_precision,LENC-CART:4_f2,LENC-CART:4_f,LENC-CART:4_nof_rules,LENC-CART:4_sum_preds,LENC-CART:4_max_preds,LENC-CART:4_avg_preds,LENC-CART:6_runtime,LENC-CART:6_acc,LENC-CART:6_adj_bal_acc,LENC-CART:6_recall,LENC-CART:6_precision,LENC-CART:6_f2,LENC-CART:6_f,LENC-CART:6_nof_rules,LENC-CART:6_sum_preds,LENC-CART:6_max_preds,LENC-CART:6_avg_preds,LENC-CART:*_runtime,LENC-CART:*_acc,LENC-CART:*_adj_bal_acc,LENC-CART:*_recall,LENC-CART:*_precision,LENC-CART:*_f2,LENC-CART:*_f,LENC-CART:*_nof_rules,LENC-CART:*_sum_preds,LENC-CART:*_max_preds,LENC-CART:*_avg_preds,TREES_nof_bin_cols,TREES-BRCG_runtime,TREES-BRCG_acc,TREES-BRCG_adj_bal_acc,TREES-BRCG_recall,TREES-BRCG_precision,TREES-BRCG_f2,TREES-BRCG_f,TREES-BRCG_nof_rules,TREES-BRCG_sum_preds,TREES-BRCG_max_preds,TREES-BRCG_avg_preds,NATIVE_nof_bin_cols,NATIVE-RIPPER_runtime,NATIVE-RIPPER_acc,NATIVE-RIPPER_adj_bal_acc,NATIVE-RIPPER_recall,NATIVE-RIPPER_precision,NATIVE-RIPPER_f2,NATIVE-RIPPER_f,NATIVE-RIPPER_nof_rules,NATIVE-RIPPER_sum_preds,NATIVE-RIPPER_max_preds,NATIVE-RIPPER_avg_preds,NATIVE-RIPPER2_runtime,NATIVE-RIPPER2_acc,NATIVE-RIPPER2_adj_bal_acc,NATIVE-RIPPER2_recall,NATIVE-RIPPER2_precision,NATIVE-RIPPER2_f2,NATIVE-RIPPER2_f,NATIVE-RIPPER2_nof_rules,NATIVE-RIPPER2_sum_preds,NATIVE-RIPPER2_max_preds,NATIVE-RIPPER2_avg_preds,NATIVE-RIPPER3_runtime,NATIVE-RIPPER3_acc,NATIVE-RIPPER3_adj_bal_acc,NATIVE-RIPPER3_recall,NATIVE-RIPPER3_precision,NATIVE-RIPPER3_f2,NATIVE-RIPPER3_f,NATIVE-RIPPER3_nof_rules,NATIVE-RIPPER3_sum_preds,NATIVE-RIPPER3_max_preds,NATIVE-RIPPER3_avg_preds,TREES-CORELS_runtime,TREES-CORELS_acc,TREES-CORELS_adj_bal_acc,TREES-CORELS_recall,TREES-CORELS_precision,TREES-CORELS_f2,TREES-CORELS_f,TREES-CORELS_nof_rules,TREES-CORELS_sum_preds,TREES-CORELS_max_preds,TREES-CORELS_avg_preds,TREES-BRCG2_runtime,TREES-BRCG2_acc,TREES-BRCG2_adj_bal_acc,TREES-BRCG2_recall,TREES-BRCG2_precision,TREES-BRCG2_f2,TREES-BRCG2_f,TREES-BRCG2_nof_rules,TREES-BRCG2_sum_preds,TREES-BRCG2_max_preds,TREES-BRCG2_avg_preds,TREES2_nof_bin_cols,TREES2-BRCG2_runtime,TREES2-BRCG2_acc,TREES2-BRCG2_adj_bal_acc,TREES2-BRCG2_recall,TREES2-BRCG2_precision,TREES2-BRCG2_f2,TREES2-BRCG2_f,TREES2-BRCG2_nof_rules,TREES2-BRCG2_sum_preds,TREES2-BRCG2_max_preds,TREES2-BRCG2_avg_preds,TREES2-BRCG_runtime,TREES2-BRCG_acc,TREES2-BRCG_adj_bal_acc,TREES2-BRCG_recall,TREES2-BRCG_precision,TREES2-BRCG_f2,TREES2-BRCG_f,TREES2-BRCG_nof_rules,TREES2-BRCG_sum_preds,TREES2-BRCG_max_preds,TREES2-BRCG_avg_preds,QUANTILE_nof_bin_cols,QUANTILE-BRCG_runtime,QUANTILE-BRCG_acc,QUANTILE-BRCG_adj_bal_acc,QUANTILE-BRCG_recall,QUANTILE-BRCG_precision,QUANTILE-BRCG_f2,QUANTILE-BRCG_f,QUANTILE-BRCG_nof_rules,QUANTILE-BRCG_sum_preds,QUANTILE-BRCG_max_preds,QUANTILE-BRCG_avg_preds,NATIVE-R2N_runtime,NATIVE-R2N_acc,NATIVE-R2N_adj_bal_acc,NATIVE-R2N_recall,NATIVE-R2N_precision,NATIVE-R2N_f2,NATIVE-R2N_f,NATIVE-R2N_nof_rules,NATIVE-R2N_sum_preds,NATIVE-R2N_max_preds,NATIVE-R2N_avg_preds,QUANTILE-BRCG2_runtime,QUANTILE-BRCG2_acc,QUANTILE-BRCG2_adj_bal_acc,QUANTILE-BRCG2_recall,QUANTILE-BRCG2_precision,QUANTILE-BRCG2_f2,QUANTILE-BRCG2_f,QUANTILE-BRCG2_nof_rules,QUANTILE-BRCG2_sum_preds,QUANTILE-BRCG2_max_preds,QUANTILE-BRCG2_avg_preds,QUANTILE-RIPPER_runtime,QUANTILE-RIPPER_acc,QUANTILE-RIPPER_adj_bal_acc,QUANTILE-RIPPER_recall,QUANTILE-RIPPER_precision,QUANTILE-RIPPER_f2,QUANTILE-RIPPER_f,QUANTILE-RIPPER_nof_rules,QUANTILE-RIPPER_sum_preds,QUANTILE-RIPPER_max_preds,QUANTILE-RIPPER_avg_preds,QUANTILE-CORELS_runtime,QUANTILE-CORELS_acc,QUANTILE-CORELS_adj_bal_acc,QUANTILE-CORELS_recall,QUANTILE-CORELS_precision,QUANTILE-CORELS_f2,QUANTILE-CORELS_f,QUANTILE-CORELS_nof_rules,QUANTILE-CORELS_sum_preds,QUANTILE-CORELS_max_preds,QUANTILE-CORELS_avg_preds,TREES-CORELS2_runtime,TREES-CORELS2_acc,TREES-CORELS2_adj_bal_acc,TREES-CORELS2_recall,TREES-CORELS2_precision,TREES-CORELS2_f2,TREES-CORELS2_f,TREES-CORELS2_nof_rules,TREES-CORELS2_sum_preds,TREES-CORELS2_max_preds,TREES-CORELS2_avg_preds,TREES2-CORELS2_runtime,TREES2-CORELS2_acc,TREES2-CORELS2_adj_bal_acc,TREES2-CORELS2_recall,TREES2-CORELS2_precision,TREES2-CORELS2_f2,TREES2-CORELS2_f,TREES2-CORELS2_nof_rules,TREES2-CORELS2_sum_preds,TREES2-CORELS2_max_preds,TREES2-CORELS2_avg_preds,TREES-RIPPER_runtime,TREES-RIPPER_acc,TREES-RIPPER_adj_bal_acc,TREES-RIPPER_recall,TREES-RIPPER_precision,TREES-RIPPER_f2,TREES-RIPPER_f,TREES-RIPPER_nof_rules,TREES-RIPPER_sum_preds,TREES-RIPPER_max_preds,TREES-RIPPER_avg_preds,LENC-CART:4exception
german_credit,1000,21,7,13,300,0.3,credit,organic,20.0,0.06,0.75,0.33,0.47,0.56,0.49,0.51,0.0,0.71,0.27,0.46,0.49,0.46,0.47,7.0,28.0,4.0,4.0,0.01,0.68,0.1,0.24,0.4,0.26,0.3,18.0,102.0,6.0,5.67,0.01,0.69,0.26,0.49,0.45,0.48,0.47,63.0,616.0,16.0,9.78,28.0,2.8,0.73,0.17,0.24,0.57,0.27,0.33,5.0,13.0,3.0,2.6,20.0,0.05,0.74,0.21,0.31,0.57,0.34,0.4,1.0,2.0,2.0,2.0,0.27,0.7,0.18,0.34,0.46,0.36,0.39,18.0,58.0,6.0,3.22,0.16,0.7,0.18,0.34,0.46,0.36,0.39,18.0,58.0,6.0,3.22,0.04,0.71,0.05,0.08,0.47,0.1,0.14,1.0,2.0,2.0,2.0,3.46,0.73,0.13,0.18,0.58,0.2,0.27,10.0,39.0,9.0,3.9,48.0,6.45,0.72,0.24,0.39,0.51,0.41,0.44,22.0,90.0,10.0,4.09,2.51,0.72,0.15,0.25,0.51,0.28,0.33,7.0,18.0,4.0,2.57,174.0,5.45,0.72,0.27,0.44,0.51,0.45,0.47,11.0,45.0,8.0,4.09,4.61,0.72,0.0,0.0,1.0,0.0,0.0,3.0,19.0,9.0,6.33,7.74,0.67,0.18,0.4,0.41,0.4,0.41,23.0,91.0,6.0,3.96,0.29,0.72,0.18,0.31,0.5,0.33,0.38,2.0,6.0,3.0,3.0,0.19,0.72,0.11,0.18,0.52,0.2,0.26,1.0,2.0,2.0,2.0,0.08,0.7,0.18,0.33,0.47,0.35,0.39,1.0,3.0,3.0,3.0,0.27,0.7,0.18,0.33,0.47,0.35,0.39,1.0,3.0,3.0,3.0,,,,,,,,,,,,
taiwan_credit,30000,24,14,9,6636,0.2212,credit,organic,23.0,0.91,0.82,0.31,0.37,0.64,0.4,0.47,0.11,0.83,0.28,0.31,0.71,0.35,0.43,2.0,8.0,4.0,4.0,0.13,0.82,0.33,0.38,0.65,0.42,0.48,15.0,89.0,6.0,5.93,0.27,0.72,0.2,0.4,0.35,0.39,0.37,1622.0,28673.0,41.0,17.68,28.0,1.35,0.83,0.28,0.31,0.7,0.35,0.43,2.0,3.0,2.0,1.5,23.0,7.02,0.82,0.31,0.36,0.66,0.4,0.47,11.0,42.0,6.0,3.82,6.83,0.82,0.31,0.36,0.66,0.4,0.47,11.0,42.0,6.0,3.82,7.67,0.82,0.31,0.36,0.66,0.4,0.47,11.0,42.0,6.0,3.82,0.32,0.83,0.28,0.32,0.7,0.36,0.44,2.0,4.0,2.0,2.0,3.8,0.83,0.28,0.31,0.7,0.35,0.43,2.0,3.0,2.0,1.5,52.0,5.08,0.83,0.28,0.31,0.7,0.35,0.43,2.0,3.0,2.0,1.5,2.2,0.83,0.28,0.31,0.7,0.35,0.43,2.0,3.0,2.0,1.5,398.0,12.5,0.83,0.28,0.31,0.71,0.35,0.43,2.0,3.0,2.0,1.5,138.72,0.83,0.28,0.32,0.7,0.36,0.44,2.0,2.0,1.0,1.0,41.49,0.83,0.28,0.31,0.71,0.35,0.43,2.0,3.0,2.0,1.5,32.42,0.82,0.32,0.37,0.65,0.41,0.47,18.0,96.0,8.0,5.33,38.86,0.83,0.28,0.32,0.7,0.36,0.44,2.0,4.0,2.0,2.0,1.44,0.83,0.3,0.34,0.7,0.38,0.46,3.0,6.0,2.0,2.0,16.77,0.83,0.28,0.32,0.7,0.36,0.44,2.0,4.0,2.0,2.0,0.24,0.79,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
compas,7210,8,0,7,3250,0.4508,recidivism,organic,7.0,0.08,0.66,0.31,0.54,0.66,0.56,0.6,0.01,0.67,0.32,0.57,0.65,0.59,0.61,9.0,36.0,4.0,4.0,0.01,0.67,0.31,0.55,0.66,0.57,0.6,24.0,136.0,6.0,5.67,0.01,0.66,0.3,0.52,0.66,0.55,0.58,81.0,682.0,11.0,8.42,18.0,0.95,0.66,0.3,0.51,0.67,0.54,0.58,3.0,5.0,2.0,1.67,7.0,0.01,0.54,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.54,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.54,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.67,0.32,0.6,0.65,0.61,0.62,3.0,6.0,2.0,2.0,2.53,0.65,0.27,0.44,0.68,0.48,0.54,3.0,6.0,3.0,2.0,22.0,2.29,0.65,0.26,0.43,0.68,0.47,0.53,2.0,4.0,3.0,2.0,1.22,0.66,0.31,0.56,0.65,0.58,0.6,3.0,4.0,2.0,1.33,28.0,1.51,0.67,0.33,0.58,0.66,0.59,0.62,3.0,7.0,5.0,2.33,25.26,0.66,0.31,0.56,0.66,0.57,0.6,3.0,4.0,2.0,1.33,4.58,0.65,0.26,0.43,0.68,0.47,0.53,2.0,3.0,2.0,1.5,0.06,0.54,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.66,0.29,0.51,0.66,0.54,0.58,2.0,4.0,2.0,2.0,0.11,0.66,0.31,0.6,0.64,0.61,0.62,3.0,6.0,2.0,2.0,0.17,0.66,0.31,0.6,0.64,0.61,0.62,3.0,6.0,2.0,2.0,0.05,0.54,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
fraud_detection,284807,31,30,0,492,0.0017,transaction-fraud,organic,30.0,10.63,1.0,0.8,0.8,0.93,0.83,0.86,2.24,1.0,0.8,0.8,0.84,0.81,0.82,6.0,23.0,4.0,3.83,3.35,1.0,0.8,0.8,0.87,0.81,0.83,10.0,51.0,6.0,5.1,10.7,1.0,0.76,0.76,0.74,0.75,0.75,67.0,923.0,22.0,13.78,20.0,2.62,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,672.67,1.0,0.76,0.76,0.87,0.78,0.81,4.0,14.0,4.0,3.5,726.82,1.0,0.76,0.76,0.87,0.78,0.81,4.0,14.0,4.0,3.5,744.62,1.0,0.76,0.76,0.87,0.78,0.81,4.0,14.0,4.0,3.5,4.64,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.96,1.0,0.78,0.78,0.87,0.79,0.82,1.0,3.0,3.0,3.0,32.0,3.85,1.0,0.74,0.74,0.88,0.76,0.8,1.0,2.0,2.0,2.0,3.36,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,7.71,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2219.12,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.89,1.0,0.73,0.73,0.82,0.75,0.77,1.0,4.0,4.0,4.0,178.8,1.0,0.71,0.71,0.87,0.74,0.78,5.0,28.0,6.0,5.6,12365.33,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1030.27,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
fraud_oracle,15420,33,8,24,923,0.0599,insurance-fraud,organic,32.0,1.02,0.95,0.29,0.3,0.72,0.34,0.42,0.08,0.94,0.02,0.03,0.5,0.03,0.05,4.0,14.0,4.0,3.5,0.08,0.94,0.04,0.05,0.71,0.06,0.08,8.0,40.0,6.0,5.0,0.1,0.92,0.28,0.32,0.3,0.32,0.31,266.0,4289.0,28.0,16.12,24.0,0.56,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.16,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31,0.94,0.03,0.03,0.88,0.03,0.05,2.0,7.0,4.0,3.5,40.0,2.37,0.94,0.03,0.03,1.0,0.03,0.05,2.0,8.0,5.0,4.0,0.79,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,1.8,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.02,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.94,0.03,0.03,0.7,0.03,0.05,1.0,8.0,8.0,8.0,13.91,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.35,0.29,0.98,0.08,0.3,0.15,14.0,75.0,7.0,5.36,
bike_75,8760,14,9,4,61,0.007,demand-prediction,organic,13.0,0.11,0.99,0.4,0.4,0.67,0.43,0.5,0.01,0.99,0.0,0.0,1.0,0.0,0.0,,,,,0.01,0.99,0.3,0.3,0.43,0.32,0.35,3.0,18.0,6.0,6.0,0.01,0.99,0.45,0.45,0.43,0.45,0.44,14.0,119.0,11.0,8.5,14.0,0.11,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.04,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.99,0.4,0.4,0.53,0.42,0.46,11.0,37.0,5.0,3.36,0.35,0.99,0.4,0.4,0.53,0.42,0.46,11.0,37.0,5.0,3.36,0.07,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.5,0.99,0.25,0.25,0.5,0.28,0.33,1.0,4.0,4.0,4.0,0.13,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,864.0,0.49,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.92,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.17,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.78,0.78,1.0,0.03,0.15,0.06,3.0,9.0,3.0,3.0,export
bike_mean,8760,14,9,4,3523,0.4022,demand-prediction,organic,13.0,0.18,0.94,0.87,0.93,0.91,0.93,0.92,0.01,0.9,0.81,0.94,0.82,0.92,0.88,3.0,12.0,4.0,4.0,0.02,0.91,0.83,0.94,0.84,0.92,0.89,18.0,104.0,6.0,5.78,0.02,0.9,0.79,0.87,0.88,0.87,0.87,210.0,2553.0,20.0,12.16,28.0,2.4,0.9,0.82,0.94,0.84,0.92,0.89,3.0,13.0,5.0,4.33,13.0,0.91,0.91,0.82,0.9,0.88,0.89,0.89,19.0,94.0,9.0,4.95,0.76,0.91,0.82,0.9,0.88,0.89,0.89,19.0,94.0,9.0,4.95,0.76,0.91,0.82,0.9,0.88,0.89,0.89,19.0,94.0,9.0,4.95,0.13,0.84,0.68,0.84,0.78,0.82,0.81,2.0,6.0,3.0,3.0,6.42,0.91,0.82,0.94,0.84,0.92,0.89,4.0,17.0,6.0,4.25,58.0,6.2,0.89,0.78,0.88,0.85,0.88,0.87,4.0,13.0,5.0,3.25,5.42,0.88,0.76,0.86,0.85,0.86,0.85,1.0,5.0,5.0,5.0,864.0,994.34,0.73,0.48,0.78,0.63,0.74,0.69,1.0,1.0,1.0,1.0,982.78,0.7,0.42,0.73,0.6,0.7,0.66,2.0,4.0,2.0,2.0,993.47,0.88,0.75,0.84,0.85,0.85,0.85,2.0,11.0,10.0,5.5,18.1,0.89,0.77,0.87,0.85,0.86,0.86,23.0,158.0,10.0,6.87,10.31,0.73,0.48,0.78,0.63,0.74,0.7,1.0,2.0,2.0,2.0,0.34,0.85,0.69,0.83,0.8,0.82,0.81,1.0,3.0,3.0,3.0,5.05,0.85,0.69,0.83,0.8,0.82,0.81,1.0,3.0,3.0,3.0,0.1,0.61,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
orange_up,50000,213,174,38,3682,0.0736,product recommendation,organic,212.0,424.92,0.95,0.42,0.43,0.79,0.47,0.55,0.73,0.95,0.43,0.44,0.79,0.48,0.56,2.0,8.0,4.0,4.0,0.86,0.95,0.43,0.44,0.76,0.48,0.56,21.0,121.0,6.0,5.76,1.86,0.91,0.36,0.41,0.38,0.4,0.39,895.0,17554.0,43.0,19.61,28.0,747.39,0.95,0.43,0.44,0.79,0.48,0.56,1.0,4.0,4.0,4.0,212.0,13.65,0.95,0.43,0.44,0.75,0.48,0.56,4.0,21.0,9.0,5.25,14.26,0.95,0.43,0.44,0.75,0.48,0.56,4.0,21.0,9.0,5.25,18.32,0.95,0.43,0.44,0.75,0.48,0.56,4.0,21.0,9.0,5.25,176.89,0.95,0.43,0.44,0.76,0.48,0.56,2.0,6.0,3.0,3.0,1922.67,0.95,0.43,0.44,0.79,0.48,0.56,1.0,4.0,4.0,4.0,50.0,1048.41,0.95,0.43,0.44,0.79,0.48,0.56,1.0,4.0,4.0,4.0,98.85,0.95,0.43,0.44,0.79,0.48,0.56,1.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.68,0.95,0.43,0.44,0.79,0.48,0.56,3.0,12.0,4.0,4.0,552.96,0.95,0.43,0.44,0.76,0.48,0.56,1.0,3.0,3.0,3.0,103.44,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
orange_churn,50000,213,174,38,3672,0.0734,churn,organic,212.0,116.99,0.93,0.03,0.04,0.42,0.05,0.07,0.74,0.93,0.01,0.01,0.63,0.01,0.02,3.0,12.0,4.0,4.0,0.9,0.93,0.03,0.03,0.46,0.04,0.06,24.0,137.0,6.0,5.71,2.27,0.87,0.08,0.16,0.13,0.15,0.14,1322.0,27825.0,43.0,21.05,28.0,103.13,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,2.61,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.86,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,101.77,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,101.5,0.93,0.01,0.01,0.61,0.01,0.02,1.0,4.0,4.0,4.0,54.0,104.4,0.93,0.01,0.01,0.61,0.01,0.02,1.0,4.0,4.0,4.0,102.64,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.99,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,165.22,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,99.88,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
adult,32561,13,4,8,7841,0.2408,income_prediction,organic,12.0,0.77,0.87,0.6,0.66,0.77,0.68,0.71,0.04,0.82,0.26,0.26,0.99,0.3,0.41,6.0,24.0,4.0,4.0,0.04,0.84,0.42,0.46,0.77,0.5,0.58,18.0,103.0,6.0,5.72,0.07,0.82,0.5,0.61,0.63,0.62,0.62,1691.0,35504.0,46.0,21.0,26.0,3.36,0.83,0.39,0.44,0.76,0.48,0.56,3.0,6.0,3.0,2.0,12.0,10.44,0.84,0.49,0.56,0.71,0.59,0.63,42.0,240.0,12.0,5.71,10.56,0.84,0.49,0.56,0.71,0.59,0.63,42.0,240.0,12.0,5.71,10.29,0.84,0.49,0.56,0.71,0.59,0.63,42.0,240.0,12.0,5.71,0.36,0.82,0.27,0.29,0.87,0.33,0.43,2.0,4.0,2.0,2.0,4.83,0.83,0.41,0.44,0.79,0.49,0.57,5.0,13.0,4.0,2.6,46.0,6.08,0.84,0.4,0.43,0.81,0.48,0.56,6.0,16.0,5.0,2.67,3.91,0.83,0.39,0.43,0.77,0.48,0.56,3.0,6.0,3.0,2.0,234.0,20.97,0.81,0.42,0.5,0.66,0.53,0.57,1.0,10.0,10.0,10.0,179.19,0.79,0.23,0.27,0.67,0.31,0.39,2.0,4.0,2.0,2.0,43.3,0.82,0.45,0.55,0.64,0.57,0.59,1.0,10.0,10.0,10.0,87.38,0.82,0.52,0.63,0.64,0.63,0.64,70.0,489.0,12.0,6.99,7.2,0.78,0.19,0.23,0.66,0.26,0.34,1.0,2.0,2.0,2.0,0.79,0.82,0.28,0.28,0.94,0.33,0.44,3.0,7.0,3.0,2.33,6.02,0.82,0.29,0.31,0.84,0.35,0.45,3.0,6.0,2.0,2.0,0.18,0.76,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
