data_set,nof_rows,nof_col,nof_num_features,nof_cat_features,nof_pos,pos_ratio,use_case,origin,LENC_nof_bin_cols,LENC-XGB_runtime,LENC-XGB_acc,LENC-XGB_adj_bal_acc,LENC-XGB_recall,LENC-XGB_precision,LENC-XGB_f2,LENC-XGB_f,LENC-CART:4_runtime,LENC-CART:4_acc,LENC-CART:4_adj_bal_acc,LENC-CART:4_recall,LENC-CART:4_precision,LENC-CART:4_f2,LENC-CART:4_f,LENC-CART:4_nof_rules,LENC-CART:4_sum_preds,LENC-CART:4_max_preds,LENC-CART:4_avg_preds,LENC-CART:6_runtime,LENC-CART:6_acc,LENC-CART:6_adj_bal_acc,LENC-CART:6_recall,LENC-CART:6_precision,LENC-CART:6_f2,LENC-CART:6_f,LENC-CART:6_nof_rules,LENC-CART:6_sum_preds,LENC-CART:6_max_preds,LENC-CART:6_avg_preds,LENC-CART:*_runtime,LENC-CART:*_acc,LENC-CART:*_adj_bal_acc,LENC-CART:*_recall,LENC-CART:*_precision,LENC-CART:*_f2,LENC-CART:*_f,LENC-CART:*_nof_rules,LENC-CART:*_sum_preds,LENC-CART:*_max_preds,LENC-CART:*_avg_preds,TREES_nof_bin_cols,TREES-BRCG_runtime,TREES-BRCG_acc,TREES-BRCG_adj_bal_acc,TREES-BRCG_recall,TREES-BRCG_precision,TREES-BRCG_f2,TREES-BRCG_f,TREES-BRCG_nof_rules,TREES-BRCG_sum_preds,TREES-BRCG_max_preds,TREES-BRCG_avg_preds,NATIVE_nof_bin_cols,NATIVE-RIPPER_runtime,NATIVE-RIPPER_acc,NATIVE-RIPPER_adj_bal_acc,NATIVE-RIPPER_recall,NATIVE-RIPPER_precision,NATIVE-RIPPER_f2,NATIVE-RIPPER_f,NATIVE-RIPPER_nof_rules,NATIVE-RIPPER_sum_preds,NATIVE-RIPPER_max_preds,NATIVE-RIPPER_avg_preds,NATIVE-RIPPER2_runtime,NATIVE-RIPPER2_acc,NATIVE-RIPPER2_adj_bal_acc,NATIVE-RIPPER2_recall,NATIVE-RIPPER2_precision,NATIVE-RIPPER2_f2,NATIVE-RIPPER2_f,NATIVE-RIPPER2_nof_rules,NATIVE-RIPPER2_sum_preds,NATIVE-RIPPER2_max_preds,NATIVE-RIPPER2_avg_preds,NATIVE-RIPPER3_runtime,NATIVE-RIPPER3_acc,NATIVE-RIPPER3_adj_bal_acc,NATIVE-RIPPER3_recall,NATIVE-RIPPER3_precision,NATIVE-RIPPER3_f2,NATIVE-RIPPER3_f,NATIVE-RIPPER3_nof_rules,NATIVE-RIPPER3_sum_preds,NATIVE-RIPPER3_max_preds,NATIVE-RIPPER3_avg_preds,TREES-CORELS_runtime,TREES-CORELS_acc,TREES-CORELS_adj_bal_acc,TREES-CORELS_recall,TREES-CORELS_precision,TREES-CORELS_f2,TREES-CORELS_f,TREES-CORELS_nof_rules,TREES-CORELS_sum_preds,TREES-CORELS_max_preds,TREES-CORELS_avg_preds,TREES-BRCG2_runtime,TREES-BRCG2_acc,TREES-BRCG2_adj_bal_acc,TREES-BRCG2_recall,TREES-BRCG2_precision,TREES-BRCG2_f2,TREES-BRCG2_f,TREES-BRCG2_nof_rules,TREES-BRCG2_sum_preds,TREES-BRCG2_max_preds,TREES-BRCG2_avg_preds,TREES2_nof_bin_cols,TREES2-BRCG2_runtime,TREES2-BRCG2_acc,TREES2-BRCG2_adj_bal_acc,TREES2-BRCG2_recall,TREES2-BRCG2_precision,TREES2-BRCG2_f2,TREES2-BRCG2_f,TREES2-BRCG2_nof_rules,TREES2-BRCG2_sum_preds,TREES2-BRCG2_max_preds,TREES2-BRCG2_avg_preds,TREES2-BRCG_runtime,TREES2-BRCG_acc,TREES2-BRCG_adj_bal_acc,TREES2-BRCG_recall,TREES2-BRCG_precision,TREES2-BRCG_f2,TREES2-BRCG_f,TREES2-BRCG_nof_rules,TREES2-BRCG_sum_preds,TREES2-BRCG_max_preds,TREES2-BRCG_avg_preds,QUANTILE_nof_bin_cols,QUANTILE-BRCG_runtime,QUANTILE-BRCG_acc,QUANTILE-BRCG_adj_bal_acc,QUANTILE-BRCG_recall,QUANTILE-BRCG_precision,QUANTILE-BRCG_f2,QUANTILE-BRCG_f,QUANTILE-BRCG_nof_rules,QUANTILE-BRCG_sum_preds,QUANTILE-BRCG_max_preds,QUANTILE-BRCG_avg_preds,NATIVE-R2N_runtime,NATIVE-R2N_acc,NATIVE-R2N_adj_bal_acc,NATIVE-R2N_recall,NATIVE-R2N_precision,NATIVE-R2N_f2,NATIVE-R2N_f,NATIVE-R2N_nof_rules,NATIVE-R2N_sum_preds,NATIVE-R2N_max_preds,NATIVE-R2N_avg_preds,QUANTILE-BRCG2_runtime,QUANTILE-BRCG2_acc,QUANTILE-BRCG2_adj_bal_acc,QUANTILE-BRCG2_recall,QUANTILE-BRCG2_precision,QUANTILE-BRCG2_f2,QUANTILE-BRCG2_f,QUANTILE-BRCG2_nof_rules,QUANTILE-BRCG2_sum_preds,QUANTILE-BRCG2_max_preds,QUANTILE-BRCG2_avg_preds,QUANTILE-RIPPER_runtime,QUANTILE-RIPPER_acc,QUANTILE-RIPPER_adj_bal_acc,QUANTILE-RIPPER_recall,QUANTILE-RIPPER_precision,QUANTILE-RIPPER_f2,QUANTILE-RIPPER_f,QUANTILE-RIPPER_nof_rules,QUANTILE-RIPPER_sum_preds,QUANTILE-RIPPER_max_preds,QUANTILE-RIPPER_avg_preds,QUANTILE-CORELS_runtime,QUANTILE-CORELS_acc,QUANTILE-CORELS_adj_bal_acc,QUANTILE-CORELS_recall,QUANTILE-CORELS_precision,QUANTILE-CORELS_f2,QUANTILE-CORELS_f,QUANTILE-CORELS_nof_rules,QUANTILE-CORELS_sum_preds,QUANTILE-CORELS_max_preds,QUANTILE-CORELS_avg_preds,TREES-CORELS2_runtime,TREES-CORELS2_acc,TREES-CORELS2_adj_bal_acc,TREES-CORELS2_recall,TREES-CORELS2_precision,TREES-CORELS2_f2,TREES-CORELS2_f,TREES-CORELS2_nof_rules,TREES-CORELS2_sum_preds,TREES-CORELS2_max_preds,TREES-CORELS2_avg_preds,TREES2-CORELS2_runtime,TREES2-CORELS2_acc,TREES2-CORELS2_adj_bal_acc,TREES2-CORELS2_recall,TREES2-CORELS2_precision,TREES2-CORELS2_f2,TREES2-CORELS2_f,TREES2-CORELS2_nof_rules,TREES2-CORELS2_sum_preds,TREES2-CORELS2_max_preds,TREES2-CORELS2_avg_preds,TREES-RIPPER_runtime,TREES-RIPPER_acc,TREES-RIPPER_adj_bal_acc,TREES-RIPPER_recall,TREES-RIPPER_precision,TREES-RIPPER_f2,TREES-RIPPER_f,TREES-RIPPER_nof_rules,TREES-RIPPER_sum_preds,TREES-RIPPER_max_preds,TREES-RIPPER_avg_preds
german_credit,1000,21,7,13,300,0.3,credit,organic,20.0,0.08,0.72,0.27,0.41,0.59,0.44,0.48,0.0,0.74,0.37,0.52,0.62,0.53,0.56,5.0,20.0,4.0,4.0,0.01,0.71,0.3,0.47,0.57,0.49,0.52,18.0,105.0,6.0,5.83,0.01,0.68,0.25,0.45,0.51,0.46,0.48,61.0,561.0,16.0,9.2,26.0,1.71,0.67,0.09,0.2,0.46,0.22,0.28,4.0,15.0,7.0,3.75,20.0,0.06,0.7,0.07,0.08,0.8,0.1,0.15,1.0,2.0,2.0,2.0,0.41,0.65,0.19,0.45,0.45,0.45,0.45,26.0,82.0,5.0,3.15,0.29,0.65,0.19,0.45,0.45,0.45,0.45,26.0,82.0,5.0,3.15,0.04,0.66,0.08,0.2,0.44,0.22,0.27,1.0,2.0,2.0,2.0,3.7,0.66,0.08,0.2,0.44,0.22,0.27,11.0,40.0,9.0,3.64,48.0,5.14,0.7,0.2,0.33,0.55,0.36,0.41,21.0,86.0,10.0,4.1,2.93,0.69,0.17,0.28,0.55,0.31,0.37,5.0,17.0,5.0,3.4,174.0,5.12,0.73,0.28,0.39,0.63,0.42,0.48,6.0,32.0,8.0,5.33,4.71,0.68,0.0,0.0,1.0,0.0,0.0,3.0,19.0,9.0,6.33,8.98,0.67,0.23,0.45,0.49,0.46,0.47,23.0,98.0,9.0,4.26,0.33,0.69,0.22,0.38,0.53,0.4,0.44,4.0,19.0,6.0,4.75,0.19,0.7,0.15,0.22,0.62,0.25,0.32,1.0,2.0,2.0,2.0,0.07,0.66,0.07,0.18,0.45,0.2,0.25,1.0,3.0,3.0,3.0,0.29,0.66,0.07,0.18,0.45,0.2,0.25,1.0,3.0,3.0,3.0,,,,,,,,,,,
taiwan_credit,30000,24,14,9,6636,0.2212,credit,organic,23.0,1.48,0.81,0.31,0.36,0.65,0.4,0.47,0.1,0.82,0.27,0.31,0.72,0.34,0.43,2.0,8.0,4.0,4.0,0.13,0.82,0.32,0.38,0.66,0.41,0.48,18.0,106.0,6.0,5.89,0.27,0.72,0.23,0.41,0.39,0.41,0.4,1583.0,26474.0,37.0,16.72,28.0,1.66,0.82,0.27,0.31,0.7,0.35,0.43,2.0,2.0,1.0,1.0,23.0,7.5,0.82,0.29,0.33,0.7,0.37,0.45,11.0,47.0,6.0,4.27,7.85,0.82,0.29,0.33,0.7,0.37,0.45,11.0,47.0,6.0,4.27,7.88,0.82,0.29,0.33,0.7,0.37,0.45,11.0,47.0,6.0,4.27,0.85,0.82,0.27,0.31,0.7,0.35,0.43,2.0,4.0,2.0,2.0,4.85,0.82,0.27,0.3,0.72,0.34,0.42,2.0,4.0,3.0,2.0,56.0,5.78,0.82,0.27,0.31,0.71,0.35,0.43,3.0,5.0,2.0,1.67,1.98,0.82,0.27,0.31,0.7,0.35,0.43,2.0,2.0,1.0,1.0,396.0,16.12,0.82,0.27,0.31,0.7,0.35,0.43,2.0,2.0,1.0,1.0,139.85,0.78,0.01,0.01,0.92,0.01,0.02,1.0,2.0,2.0,2.0,37.08,0.82,0.27,0.3,0.72,0.34,0.43,2.0,3.0,2.0,1.5,38.02,0.81,0.3,0.35,0.66,0.39,0.46,20.0,100.0,8.0,5.0,38.57,0.82,0.27,0.31,0.7,0.35,0.43,2.0,4.0,2.0,2.0,1.45,0.82,0.29,0.33,0.7,0.37,0.45,3.0,6.0,2.0,2.0,25.02,0.82,0.27,0.31,0.7,0.35,0.43,2.0,4.0,2.0,2.0,0.24,0.77,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
compas,7210,8,0,7,3250,0.4508,recidivism,organic,7.0,0.1,0.67,0.34,0.6,0.65,0.61,0.63,0.01,0.68,0.34,0.56,0.67,0.58,0.61,10.0,40.0,4.0,4.0,0.01,0.68,0.35,0.62,0.66,0.63,0.64,29.0,168.0,6.0,5.79,0.01,0.67,0.33,0.59,0.65,0.6,0.62,84.0,692.0,11.0,8.24,24.0,1.17,0.66,0.29,0.5,0.66,0.52,0.57,2.0,2.0,1.0,1.0,7.0,0.02,0.55,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.55,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.55,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.66,0.29,0.5,0.66,0.52,0.57,2.0,4.0,2.0,2.0,4.06,0.65,0.26,0.42,0.69,0.46,0.52,3.0,9.0,6.0,3.0,24.0,4.46,0.65,0.26,0.42,0.69,0.46,0.52,3.0,9.0,6.0,3.0,1.55,0.66,0.29,0.5,0.66,0.52,0.57,2.0,2.0,1.0,1.0,28.0,1.52,0.66,0.29,0.5,0.66,0.52,0.57,2.0,2.0,1.0,1.0,26.03,0.56,0.03,0.04,0.8,0.05,0.08,1.0,2.0,2.0,2.0,4.08,0.66,0.29,0.5,0.66,0.52,0.57,2.0,2.0,1.0,1.0,0.06,0.55,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.66,0.29,0.5,0.66,0.52,0.57,2.0,4.0,2.0,2.0,0.21,0.66,0.32,0.6,0.64,0.61,0.62,3.0,6.0,2.0,2.0,0.22,0.66,0.32,0.6,0.64,0.61,0.62,3.0,6.0,2.0,2.0,0.06,0.55,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
fraud_detection,284807,31,30,0,492,0.0017,transaction-fraud,organic,30.0,10.79,1.0,0.83,0.83,0.92,0.84,0.87,2.26,1.0,0.84,0.84,0.82,0.83,0.83,7.0,26.0,4.0,3.71,3.44,1.0,0.82,0.82,0.86,0.83,0.84,13.0,70.0,6.0,5.38,10.98,1.0,0.84,0.84,0.73,0.81,0.78,71.0,999.0,25.0,14.07,22.0,2.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,868.8,1.0,0.75,0.75,0.92,0.78,0.83,5.0,19.0,5.0,3.8,991.4,1.0,0.75,0.75,0.92,0.78,0.83,5.0,19.0,5.0,3.8,1019.41,1.0,0.75,0.75,0.92,0.78,0.83,5.0,19.0,5.0,3.8,4.96,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05,1.0,0.79,0.79,0.83,0.8,0.81,1.0,2.0,2.0,2.0,38.0,4.41,1.0,0.79,0.79,0.83,0.8,0.81,1.0,2.0,2.0,2.0,3.49,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,8.79,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1221.19,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.73,1.0,0.75,0.75,0.83,0.77,0.79,1.0,4.0,4.0,4.0,144.32,1.0,0.7,0.7,0.9,0.73,0.79,4.0,25.0,7.0,6.25,2279.03,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.18,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
fraud_oracle,15420,33,8,24,923,0.0599,insurance-fraud,organic,32.0,0.48,0.95,0.28,0.29,0.74,0.33,0.42,0.07,0.94,0.02,0.02,0.4,0.03,0.04,3.0,11.0,4.0,3.67,0.08,0.94,0.03,0.03,0.56,0.04,0.06,10.0,52.0,6.0,5.2,0.1,0.9,0.23,0.29,0.23,0.28,0.26,312.0,5144.0,33.0,16.49,26.0,0.61,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.21,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,0.94,0.02,0.02,0.86,0.03,0.04,1.0,4.0,4.0,4.0,40.0,2.45,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,1.45,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.83,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.35,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.34,0.29,0.99,0.08,0.3,0.15,10.0,50.0,7.0,5.0
bike_75,8760,14,9,4,61,0.007,demand-prediction,organic,13.0,0.15,0.99,0.41,0.41,0.64,0.44,0.5,0.01,0.99,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,3.0,0.01,0.99,0.7,0.71,0.5,0.65,0.59,4.0,21.0,6.0,5.25,0.01,0.99,0.53,0.53,0.47,0.52,0.5,19.0,172.0,16.0,9.05,12.0,0.1,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.12,0.99,0.29,0.29,0.45,0.32,0.36,1.0,4.0,4.0,4.0,0.08,0.99,0.29,0.29,0.45,0.32,0.36,1.0,4.0,4.0,4.0,0.06,0.99,0.29,0.29,0.45,0.32,0.36,1.0,4.0,4.0,4.0,0.07,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.99,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,16.0,0.29,0.99,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.14,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,864.0,0.51,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79.78,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.99,-0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.33,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.97,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.97,0.85,0.88,0.16,0.46,0.27,1.0,3.0,3.0,3.0
bike_mean,8760,14,9,4,3523,0.4022,demand-prediction,organic,13.0,0.24,0.92,0.84,0.91,0.9,0.91,0.91,0.01,0.9,0.81,0.94,0.84,0.92,0.88,4.0,16.0,4.0,4.0,0.02,0.9,0.81,0.91,0.87,0.9,0.89,17.0,100.0,6.0,5.88,0.03,0.89,0.78,0.87,0.87,0.87,0.87,206.0,2534.0,26.0,12.3,28.0,2.01,0.9,0.81,0.93,0.85,0.91,0.89,3.0,12.0,5.0,4.0,13.0,0.94,0.89,0.78,0.87,0.88,0.87,0.87,20.0,107.0,8.0,5.35,0.91,0.89,0.78,0.87,0.88,0.87,0.87,20.0,107.0,8.0,5.35,0.93,0.89,0.78,0.87,0.88,0.87,0.87,20.0,107.0,8.0,5.35,0.14,0.84,0.68,0.83,0.79,0.82,0.81,2.0,6.0,3.0,3.0,3.95,0.9,0.82,0.93,0.85,0.91,0.89,4.0,15.0,5.0,3.75,56.0,3.21,0.89,0.77,0.87,0.86,0.86,0.86,4.0,12.0,5.0,3.0,4.61,0.9,0.81,0.93,0.85,0.91,0.89,3.0,12.0,5.0,4.0,864.0,43.81,0.88,0.75,0.84,0.87,0.85,0.86,2.0,10.0,6.0,5.0,73.56,0.64,0.19,0.32,0.63,0.36,0.43,2.0,4.0,2.0,2.0,111.27,0.87,0.72,0.81,0.86,0.82,0.83,24.0,55.0,6.0,2.29,19.03,0.9,0.78,0.86,0.89,0.86,0.87,21.0,144.0,11.0,6.86,11.03,0.73,0.48,0.79,0.64,0.75,0.71,1.0,2.0,2.0,2.0,0.35,0.85,0.69,0.83,0.81,0.82,0.82,1.0,3.0,3.0,3.0,5.1,0.84,0.69,0.83,0.8,0.83,0.82,1.0,3.0,3.0,3.0,0.1,0.58,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
orange_up,50000,213,174,38,3682,0.0736,product recommendation,organic,212.0,4.23,0.95,0.41,0.42,0.81,0.46,0.55,0.74,0.95,0.43,0.44,0.81,0.48,0.57,2.0,8.0,4.0,4.0,0.89,0.95,0.44,0.45,0.77,0.49,0.57,19.0,108.0,6.0,5.68,1.89,0.91,0.36,0.41,0.38,0.41,0.39,894.0,16795.0,39.0,18.79,28.0,100.96,0.95,0.43,0.44,0.78,0.48,0.56,1.0,3.0,3.0,3.0,212.0,34.2,0.95,0.4,0.41,0.77,0.46,0.54,10.0,54.0,9.0,5.4,36.3,0.95,0.4,0.41,0.77,0.46,0.54,10.0,54.0,9.0,5.4,36.22,0.95,0.4,0.41,0.77,0.46,0.54,10.0,54.0,9.0,5.4,103.59,0.95,0.43,0.44,0.78,0.48,0.56,2.0,6.0,3.0,3.0,99.98,0.95,0.43,0.44,0.81,0.48,0.57,1.0,4.0,4.0,4.0,52.0,101.77,0.95,0.43,0.44,0.81,0.48,0.57,1.0,4.0,4.0,4.0,100.66,0.95,0.43,0.44,0.78,0.48,0.56,1.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.33,0.95,0.43,0.44,0.81,0.48,0.57,3.0,12.0,4.0,4.0,120.4,0.95,0.43,0.44,0.78,0.48,0.56,1.0,3.0,3.0,3.0,97.4,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
orange_churn,50000,213,174,38,3672,0.0734,churn,organic,212.0,4.13,0.93,0.03,0.04,0.44,0.04,0.07,0.73,0.93,0.02,0.02,0.53,0.02,0.03,4.0,16.0,4.0,4.0,0.9,0.93,0.04,0.04,0.45,0.05,0.08,22.0,124.0,6.0,5.64,2.23,0.87,0.06,0.14,0.13,0.14,0.13,1331.0,28787.0,58.0,21.63,28.0,103.72,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,1.68,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,102.23,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,101.87,0.93,0.01,0.01,0.57,0.02,0.03,1.0,4.0,4.0,4.0,58.0,109.44,0.93,0.01,0.01,0.57,0.02,0.03,1.0,4.0,4.0,4.0,109.87,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.74,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,142.9,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,105.62,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,32561,13,4,8,7841,0.2408,income_prediction,organic,12.0,0.45,0.87,0.6,0.67,0.76,0.68,0.71,0.04,0.82,0.26,0.27,0.92,0.32,0.42,7.0,28.0,4.0,4.0,0.05,0.83,0.45,0.52,0.71,0.55,0.6,18.0,103.0,6.0,5.72,0.06,0.81,0.48,0.61,0.61,0.61,0.61,1658.0,33590.0,39.0,20.26,26.0,2.92,0.83,0.39,0.44,0.77,0.48,0.56,3.0,6.0,3.0,2.0,12.0,8.33,0.84,0.48,0.55,0.72,0.58,0.62,36.0,212.0,11.0,5.89,8.19,0.84,0.48,0.55,0.72,0.58,0.62,36.0,212.0,11.0,5.89,55.01,0.84,0.48,0.55,0.72,0.58,0.62,36.0,212.0,11.0,5.89,0.4,0.81,0.27,0.28,0.86,0.33,0.43,2.0,4.0,2.0,2.0,4.83,0.84,0.4,0.44,0.79,0.48,0.56,6.0,15.0,4.0,2.5,46.0,7.44,0.84,0.39,0.42,0.81,0.47,0.56,5.0,13.0,4.0,2.6,4.24,0.83,0.39,0.43,0.78,0.47,0.56,3.0,6.0,3.0,2.0,234.0,22.67,0.82,0.43,0.52,0.66,0.54,0.58,1.0,10.0,10.0,10.0,152.73,0.79,0.2,0.23,0.69,0.26,0.34,3.0,7.0,3.0,2.33,40.0,0.83,0.39,0.44,0.73,0.48,0.55,6.0,21.0,8.0,3.5,64.71,0.82,0.48,0.57,0.66,0.59,0.61,53.0,371.0,14.0,7.0,6.52,0.79,0.2,0.24,0.67,0.27,0.35,1.0,2.0,2.0,2.0,0.84,0.83,0.4,0.45,0.77,0.49,0.57,9.0,27.0,3.0,3.0,5.53,0.81,0.27,0.28,0.86,0.33,0.43,2.0,4.0,2.0,2.0,0.18,0.76,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
